강좌명,강사명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수시작일자,접수종료일자,접수방법구분,선정방법구분,홈페이지주소,직업능력개발훈련비지원강좌여부,학점은행제평가(학점)인정여부,평생학습계좌제평가인정여부,데이터기준일자
[일원2] 한땀한땀 만드는 가죽공예,강서희,2026-05-18,2026-08-10,14:00,16:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 트래블 인사이트: 여행 트렌드를 이끄는 도시들,홍수연,2026-05-18,2026-08-10,14:00,16:00,기타,성인,오프라인,월요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영어 토탈리스닝 (초중급),유선화,2026-05-18,2026-08-10,14:00,16:00,영어,성인,오프라인,월요일,일원평생학습센터 강의실,20,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] (시니어)생성형 AI를 활용한 콘텐츠 제작,정경혜,2026-05-18,2026-08-10,14:00,16:00,디지털,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 어느덧, 감성수채화",조경아,2026-05-18,2026-08-10,14:00,16:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 오디오드라마 제작과 낭독하기,이서륜,2026-05-18,2026-08-10,14:00,16:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 한 붓으로 그려요(기초 수채화),송효정,2026-05-18,2026-08-10,14:00,16:00,미술/서예,성인,오프라인,월요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 오카리나,하은순,2026-05-18,2026-08-10,14:00,16:00,악기,성인,오프라인,월요일,수서평생학습센터 음악강의실,12,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 여행도 일상도 톡톡영어,임수진,2026-05-18,2026-08-10,14:00,16:00,영어,성인,오프라인,월요일,개포평생학습센터 강의실,30,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 홈스토랑 이탈리안 파티 테이블,박미현,2026-05-18,2026-08-10,14:00,16:00,요리,성인,오프라인,월요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]이탈리아어 입문,이운영,2026-05-18,2026-08-12,13:20,14:50,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 2층 커뮤니티실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]프랑스 대사관 어학센터와 함께하는 프랑스어 초중급 A2.4,Anaïs KUHN,2026-05-18,2026-08-12,13:20,14:50,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]이탈리아어 초급Ⅲ,이운영,2026-05-18,2026-08-12,10:30,12:00,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 2층 커뮤니티실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]프랑스 대사관 어학센터와 함께하는 프랑스어 초중급 A2.3,Anaïs KUHN,2026-05-18,2026-08-12,10:30,12:00,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]오디오드라마 제작클래스,이서륜,2026-05-18,2026-08-10,10:00,12:00,취미,성인,오프라인,월요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]부모·조부모를 위한 육아 영어,Andrew P. Otto,2026-05-18,2026-08-12,10:00,11:30,영어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 4강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 유러피안 플라워&플로리스트,이승은,2026-05-18,2026-08-10,10:00,12:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 아이패드로 그리는 어반스케치,이필두,2026-05-18,2026-08-10,10:00,12:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 미술관 산책, 화가들의 삶",박영랑,2026-05-18,2026-08-10,10:00,12:00,인문/독서,성인,오프라인,월요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 인물이 있는 생동감 있는 풍경 드로잉,이수정,2026-05-18,2026-08-10,10:00,12:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 손 끝에 담는 매듭공예,박진영,2026-05-18,2026-08-10,10:00,12:00,도자기/공예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 금쪽미술심리상담소(자격준비반),문주,2026-05-18,2026-08-10,10:00,12:00,자격증,성인,오프라인,월요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 편하게 노래하는 발성법,심원민,2026-05-18,2026-08-10,10:00,12:00,노래/민요,성인,오프라인,월요일,수서평생학습센터 음악강의실,12,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 에세이 쓰기 첫걸음,유영희,2026-05-18,2026-08-10,10:00,12:00,인문/독서,성인,오프라인,월요일,개포평생학습센터 강의실,20,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 지중해식 한식 보양,박미현,2026-05-18,2026-08-10,10:00,12:00,요리,성인,오프라인,월요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정4 [5. 13(수) 오후 7시/대치],주은미,2026-05-13,2026-05-13,19:00,21:00,시민참여,성인,오프라인,수요일,대치평생학습관 2강의실,20,0,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정3 [5. 13(수) 오후 2시/일원],주은미,2026-05-13,2026-05-13,14:00,16:00,시민참여,성인,오프라인,수요일,일원평생학습센터 2강의실,20,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-20,2026-05-07,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
2026. 모두가 함께하는 수어특강-초급,강회주 외,2026-05-11,2026-07-06,10:00,11:30,시민참여,성인,오프라인,월요일+수요일,일원평생학습센터 제9강의실,15,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][세계인의 날 특강] 주한독일문화원장과 함께하는 우리는 왜 극장에 가는가?,클레멘스 트레터 박사(Dr. Clemens Treter),2026-05-08,2026-05-08,14:00,15:30,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][세계인의 날 특강]주한체코문화원장과 함께하는 “체코어 미니어학당”,미샤 에마노브스키(Michal Emanovsky),2026-05-07,2026-05-07,14:00,15:30,기타,성인,오프라인,목요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[논현2][세계인의 날 특강]주한세르반테스문화원장과 함께하는 문화의 용광로, 스페인",라파엘 부에노 마르티네즈(Rafael Bueno Martinez),2026-05-07,2026-05-07,10:00,11:30,기타,성인,오프라인,목요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-06,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정2 [5. 6(수) 오후 7시/대치],주은미,2026-05-06,2026-05-06,19:00,21:00,시민참여,성인,오프라인,수요일,대치평생학습관 2강의실,20,0,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][세계인의 날 특강]주한프랑스문화원과 함께하는 “프랑스로의 여행”,토니 샤둑(Tony CHADUC),2026-05-06,2026-05-06,14:00,15:30,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-06,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정1 [5. 4(월) 오전10시/일원],주은미,2026-05-04,2026-05-04,10:00,12:00,시민참여,성인,오프라인,월요일,일원평생학습센터 9강의실,20,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-02,2026-04-28,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
★갤러리 특강 part31. - 작가 김희연 작품편,김희연,2026-04-29,2026-04-29,14:00,16:00,미술/서예,성인,오프라인,수요일,일원평생학습센터 라운지1,30,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-03-25,2026-03-27,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <서울대 연계-국가 전문 자격증 취득 과정> 국가유산수리기능자_모사공 (자격대비반),이혜경,2026-04-22,2026-05-27,10:00,13:00,미술/서예,성인,오프라인,수요일,일원평생학습센터 5강의실,20,90000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-03-25,2026-04-15,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <동국대 연계-데이터 사이언스 전문가 과정> 판다스 데이터 분석 (입문),성연식,2026-04-21,2026-07-14,19:00,21:00,디지털,성인,오프라인,화요일,일원평생학습센터 3강의실,25,120000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-03-25,2026-04-07,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <동국대 연계-데이터 사이언스 전문가 과정> 처음부터 시작하는 파이썬 (입문),성연식,2026-04-20,2026-07-13,19:00,21:00,디지털,성인,오프라인,월요일,일원평생학습센터 3강의실,25,120000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-03-18,2026-03-18,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <금융·경제 전문가 과정> 한번에 끝내는 자산관리 (입문) C,유강희,2026-04-16,2026-07-23,10:00,12:00,기타,성인,오프라인,목요일,대치평생학습관 2강의실,20,150000,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-03-18,2026-03-18,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <금융·경제 전문가 과정> 한번에 끝내는 자산관리 (입문) B,유강희,2026-04-15,2026-07-29,19:00,21:00,기타,성인,오프라인,수요일,대치평생학습관 1강의실,20,150000,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-01-06,2026-02-27,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포1] 올 어바웃 아메리칸 디저트(B/6회),김하연,2026-03-23,2026-04-27,14:00,16:00,요리,성인,오프라인,월요일,개포평생학습센터 요리실,12,36000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-01-06,2026-01-08,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현1]6주 안에 마스터하는 영상 편집(Capcut PC)(B/6회),김문경,2026-03-18,2026-04-22,19:00,21:00,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 4강의실,16,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-01-06,2026-02-05,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현1]퍼스널컬러 이미지브랜딩(B/6회),유지현,2026-03-18,2026-04-22,19:00,21:00,기타,성인,오프라인,수요일,논현글로벌평생학습센터 3층 3강의실,15,36000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-02-20,2026-02-27,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[열린대학1] <금융·경제 전문가 과정> 한번에 끝내는 자산관리 (입문) A,유강희,2026-03-06,2026-06-19,10:00,12:00,기타,성인,오프라인,금요일,일원평생학습센터 1강의실,18,150000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-26,2026-02-23,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
갤러리 특강 part30. - 작가 정애란 작품편,정애란,2026-02-24,2026-02-24,14:00,16:00,미술/서예,성인,오프라인,화요일,일원평생학습센터 라운지1,34,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-30,2026-02-06,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
강남미술여행<그림같은오후> : 신한갤러리(1차),"김률희, 박주현, 박지현, 이은성",2026-02-11,2026-02-11,14:00,15:30,미술/서예,성인,오프라인,수요일,신한갤러리,45,0,서울특별시 강남구 역삼로 251,서울특별시 강남구청,02-3423-5282,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서1] 어린이 합창 (B),이승주,2026-01-30,2026-04-17,16:00,16:50,초등,성인,오프라인,금요일,수서평생학습센터 음악강의실,12,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서1] 어린이 합창 (A),이승주,2026-01-30,2026-04-17,15:00,15:50,초등,성인,오프라인,금요일,수서평생학습센터 음악강의실,12,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현1]색연필로 그리는 컬러풀 세상,김민구,2026-01-30,2026-04-17,14:00,16:00,미술/서예,성인,오프라인,금요일,논현글로벌평생학습센터 3층 2강의실,15,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-01-06,2026-02-19,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현1]미술치료 12주 워크숍: 내 마음지도 찾기,문주,2026-01-30,2026-04-17,14:00,16:00,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 2강의실,15,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-01-06,2026-02-19,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원1] 바다 빛을 품은 자개 공예 (A/6회),유수혜,2026-01-30,2026-03-06,14:00,16:00,도자기/공예,성인,오프라인,금요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원1] 마음치유, 수묵캘리그라피",최남길,2026-01-30,2026-04-17,14:00,16:00,미술/서예,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-01-07,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원1] 실전 부동산경매 투자비법,정희철,2026-01-30,2026-04-17,14:00,16:00,기타,성인,오프라인,금요일,일원평생학습센터 강의실,35,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2025-12-17,2025-12-17,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
(미사용)[일원1] 스마트폰,배정희,2026-01-30,2026-04-17,14:00,16:00,AI,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원1] (시니어)스마트폰 AI 입문교실,배정희,2026-01-30,2026-04-24,14:00,16:00,디지털,성인,오프라인,금요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-02-11,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[수서1] 클래식, 그림을 듣고 음악을 보다",김주경,2026-01-30,2026-04-17,14:00,16:00,기타,성인,오프라인,금요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[개포1] 다양한 맛, 세계의 누들(면)요리",노주영,2026-01-30,2026-04-17,14:00,16:00,요리,성인,오프라인,금요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-01-06,2026-01-07,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포1]  재미있게 쉽게 배우는 일본어 (초·중급),정은경,2026-01-30,2026-04-17,14:00,16:00,일본어,성인,오프라인,금요일,개포평생학습센터 강의실,20,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-01-06,2026-02-06,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서1] 하모니카 (중급),김봉주,2026-01-30,2026-04-17,11:00,11:50,악기,성인,오프라인,금요일,수서평생학습센터 음악강의실,10,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-01-06,2026-01-27,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[논현1]세계 풍경, 여행을 그리다",이수정,2026-01-30,2026-04-17,10:00,12:00,도자기/공예,성인,오프라인,금요일,논현글로벌평생학습센터 3층 3강의실,15,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-01-06,2026-03-06,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현1]유럽을 읽는 건축여행,김성은,2026-01-30,2026-04-17,10:00,12:00,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원1] 영어그림책 낭독하며 행복한 시간,최현희,2026-01-30,2026-04-17,10:00,12:00,영어,성인,오프라인,금요일,일원평생학습센터 강의실,25,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-01-15,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원1] 마음을 담은 색연필화,김민구,2026-01-30,2026-04-17,10:00,12:00,미술/서예,성인,오프라인,금요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-01-06,2026-01-20,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
